generation_step,memory_mb
0,15327.728515625
1,15327.728515625
2,15327.8544921875
3,15327.9794921875
4,15328.1044921875
5,15328.2294921875
6,15328.3544921875
7,15328.4794921875
8,15328.6044921875
9,15328.7294921875
10,15328.8544921875
11,15328.9794921875
12,15329.1044921875
13,15329.2294921875
14,15329.3544921875
15,15329.4794921875
16,15329.6044921875
17,15329.7294921875
18,15329.8544921875
19,15329.9794921875
20,15330.1044921875
21,15330.2294921875
22,15330.3544921875
23,15330.4794921875
24,15330.6044921875
25,15330.7294921875
26,15330.8544921875
27,15330.9794921875
28,15331.1044921875
29,15331.2294921875
30,15331.3544921875
31,15331.4794921875
32,15331.6044921875
